INFO--2021-08-10 12:02:01,888--637--Watching for file changes with StatReloader
DEBUG--2021-08-10 12:02:16,738--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\unittest\__init__.py first seen with mtime 1620043496.0
DEBUG--2021-08-10 12:02:16,739--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\simplejson\errors.py first seen with mtime 1628067808.0690484
DEBUG--2021-08-10 12:02:16,739--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\docutils\writers\__init__.py first seen with mtime 1627462749.0550027
DEBUG--2021-08-10 12:02:16,739--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\email\_parseaddr.py first seen with mtime 1620043494.0
DEBUG--2021-08-10 12:02:16,739--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\rest_framework\apps.py first seen with mtime 1627438608.4603312
DEBUG--2021-08-10 12:02:16,740--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\urllib3\request.py first seen with mtime 1627878520.76245
DEBUG--2021-08-10 12:02:16,740--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1627439804.205048
DEBUG--2021-08-10 12:02:16,740--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1627438609.078987
DEBUG--2021-08-10 12:02:16,740--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1627439806.2277758
DEBUG--2021-08-10 12:02:16,740--379--File C:\Users\MEHBOOB\Desktop\KeycloakAPI\project05\api\urls.py first seen with mtime 1628244046.809714
DEBUG--2021-08-10 12:02:16,741--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\coreapi\auth.py first seen with mtime 1628067807.4051363
DEBUG--2021-08-10 12:02:16,741--379--File C:\Users\MEHBOOB\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\views\i18n.py first seen with mtime 1627439806.6670504
